# desirability_entropy, agent_entropy, utility
2.762231501949272250e+00,8.457204799842806819e-01,3.530537577000760763e-01
2.633302654543231203e+00,8.752856383871373547e-01,3.845671854283424507e-01
2.652602415706454941e+00,8.655242772318675337e-01,3.612323120654357123e-01
2.692393438812177298e+00,8.607250970865352180e-01,3.892244049240561332e-01
2.678947839965305722e+00,8.282707960639008604e-01,3.785001067631860172e-01
2.802757003336550312e+00,8.848422722800576290e-01,3.880443718733133651e-01
2.556338525185928745e+00,8.723832714926545995e-01,3.708960350753080504e-01
2.682167192068019901e+00,8.984977014032019538e-01,4.090616391807341823e-01
2.465803264631952985e+00,9.018134286013760326e-01,3.484323050646262465e-01
2.615920955351228816e+00,8.163915594025645817e-01,3.967402209922141210e-01
2.800733028901391197e+00,8.157380653343857535e-01,3.611492065814372321e-01
2.943467311378268114e+00,7.880825454698254795e-01,3.835364222218346497e-01
2.896299039562264976e+00,8.022873743708226479e-01,3.679461542738031721e-01
2.757893764643744916e+00,8.680336333509797164e-01,3.629858421712133798e-01
3.130132278025435699e+00,7.680172042368013097e-01,3.777022059394441467e-01
2.805483435778015622e+00,8.441515156879340065e-01,3.467267834587743347e-01
2.656195869495569628e+00,8.774391731316601994e-01,3.715052753998102086e-01
2.845532047517417062e+00,8.297144770632129962e-01,3.664807491618954360e-01
2.722379759352079986e+00,8.960831002946816337e-01,3.786063409938370539e-01
2.692915579671095294e+00,8.893884676848095028e-01,3.530435883913625172e-01
2.634270215313201380e+00,8.638388712206382936e-01,3.853362720473395009e-01
2.956112903968829198e+00,7.763117698313737325e-01,3.810725436617571349e-01
2.631697590670424525e+00,8.550125008615088174e-01,3.969761241828698717e-01
2.867756332553659249e+00,8.548992365870748955e-01,4.110443944823634066e-01
2.939339541111109622e+00,8.112101737557679826e-01,3.856394943360617611e-01
2.699426637257293926e+00,8.919806632846005723e-01,3.987953775236073861e-01
2.687524859510543429e+00,8.785230824194356636e-01,3.909534409071344641e-01
2.556151984247644116e+00,8.150817042340362528e-01,3.648201674015548179e-01
2.592284351276256338e+00,8.753897124086252868e-01,3.961534416690556393e-01
2.814977768578031281e+00,8.598060869754632352e-01,3.677783319184750876e-01
