# desirability_entropy, agent_entropy, utility
4.268884585799201936e+00,7.797521592535404666e-01,1.341606848608541819e-02
4.003938608511059094e+00,8.172830632280623231e-01,1.617811804752894780e-02
4.135944427229802933e+00,7.961315812530275204e-01,1.515022028751047099e-02
4.192806407258746759e+00,7.898569517749778335e-01,1.634136551626988454e-02
4.492133816327086748e+00,7.288807199902815892e-01,1.630436427310899550e-02
4.183543369292348935e+00,7.999543637878192559e-01,1.656204394296920818e-02
4.236929424321541404e+00,7.843527213789476260e-01,1.735901806255041313e-02
4.160111127686536570e+00,8.327072796669264809e-01,1.395036970343206152e-02
4.182730475923608360e+00,7.877132018904784427e-01,1.650758567532651516e-02
4.302943036668862575e+00,8.025490645965134284e-01,1.427607896843344389e-02
4.178142018243037548e+00,7.750285137220654930e-01,1.716976043748255285e-02
4.432554398551934227e+00,7.932489734119895219e-01,1.567774530782901909e-02
4.278963971349224238e+00,7.525624008055621372e-01,1.408227420620067512e-02
4.176395636902585196e+00,7.891765188293246025e-01,1.483325577861697303e-02
4.196860823333111945e+00,8.175989942121785203e-01,1.481581901151590719e-02
3.944356457166543706e+00,8.201207195006534612e-01,1.348257028858309246e-02
4.050014426181517635e+00,7.887329490850226721e-01,1.710042297582745063e-02
4.348661409427306168e+00,7.887660356649217608e-01,1.565351804221218682e-02
4.439495622511570261e+00,7.795086316256715220e-01,1.535662012341401476e-02
4.282223296280603719e+00,7.984245408794786725e-01,1.421457171723606097e-02
4.162044102251298838e+00,8.219667289586489733e-01,1.309755787449726032e-02
4.307095294383862516e+00,8.033542166003504459e-01,1.612804555285831526e-02
4.248331308465131961e+00,8.105388484961196793e-01,1.453794656540364529e-02
4.291492130507756464e+00,7.677694465785628308e-01,1.471355366528873457e-02
4.175293323922430133e+00,7.916892420088695870e-01,1.693617401252050375e-02
4.308409946413067182e+00,8.036171568865717596e-01,1.439490174444615737e-02
4.143391961733323470e+00,8.417470804409473706e-01,1.706595615519602635e-02
4.332810658645746216e+00,7.982269535202632937e-01,1.617325630863414299e-02
4.231066266758775285e+00,7.720043642456402289e-01,1.353398516513415126e-02
4.014269293458252896e+00,8.085733863136533861e-01,1.609476823654935537e-02
4.286913578464706553e+00,8.058901147816869281e-01,1.600735852205177612e-02
4.196263368497260338e+00,8.339505715662280938e-01,1.338957178361952979e-02
4.178624082335717027e+00,7.851691855885362115e-01,1.684741505945560811e-02
4.284442055148797834e+00,8.275742520687340287e-01,1.531439150638239793e-02
4.347240914541469436e+00,8.045637693649575484e-01,1.319299620677588485e-02
4.115255806086778101e+00,8.183921426045602798e-01,1.523929593031304701e-02
4.096596330913552464e+00,8.233365512635857364e-01,1.431810313915907358e-02
4.037745456563631485e+00,8.022449058292644430e-01,1.355157857679694863e-02
4.033412252032132272e+00,8.094706445689733298e-01,1.347916261765508099e-02
4.274496988571990563e+00,7.857209994021191468e-01,1.345320196016902559e-02
4.292079455136257771e+00,7.837047397005693083e-01,1.473234371784551064e-02
4.168611096313887820e+00,7.947370338206704021e-01,1.490156416986813774e-02
4.252584132143073958e+00,7.995444876234325537e-01,1.592666620330816102e-02
4.210621668343156543e+00,7.990233700651424575e-01,1.506176804542336961e-02
4.165736359093932251e+00,8.152262190214387694e-01,1.351789800019525742e-02
4.144098749561370809e+00,7.716123747332322980e-01,1.595649247410472343e-02
4.333464226230887562e+00,7.990874581575579949e-01,1.810742900668173630e-02
4.261634993284816986e+00,7.784057584658353734e-01,1.718509540034569849e-02
4.318869835417515013e+00,8.137586805923580080e-01,1.538764898717255927e-02
4.166050658780606319e+00,7.984419349584315206e-01,1.486261511132045895e-02
4.398343716495471512e+00,7.634900455121139684e-01,1.468521841313418994e-02
4.234050553735220213e+00,8.147418026524656520e-01,1.297841102251140813e-02
4.035357072841116555e+00,8.173889312050255374e-01,1.229226431953917183e-02
4.302973406740848716e+00,7.967505648137737095e-01,1.397890618115738004e-02
4.146674497426237949e+00,8.004489185776211269e-01,1.368091412380860634e-02
4.305644855620820444e+00,7.687224624609036994e-01,1.779702888623288862e-02
4.119523652831747818e+00,7.883345149969753773e-01,1.657162583540278122e-02
4.049353572823456204e+00,8.165096721210787223e-01,1.295349731181393536e-02
3.970605527479166952e+00,8.036952028136247206e-01,1.682738104519164446e-02
4.117708470260895481e+00,7.855737571102600070e-01,1.401367530260505187e-02
4.111216364354708830e+00,8.079132805245882176e-01,1.875915405810428885e-02
4.130570349106928774e+00,7.904183850660599919e-01,1.617305766213938956e-02
4.000866013206964666e+00,8.161514629187522907e-01,1.599771215419026546e-02
4.216432158887998938e+00,7.950284520148728218e-01,1.605257440578855554e-02
4.022989333183350169e+00,8.261274592057470390e-01,1.700567552459117046e-02
4.262675593834186039e+00,7.915540235206665054e-01,1.265081146412777927e-02
4.109813942799926068e+00,8.300961080084523491e-01,1.726554901752562488e-02
3.951647427099029830e+00,8.197415432935584167e-01,1.505474404811821959e-02
3.999468751712321524e+00,8.235027581633634908e-01,1.214418791581059476e-02
4.259818262179799753e+00,8.019185304701154093e-01,1.573085005923169702e-02
4.383549524518112861e+00,7.734471576535996151e-01,1.630636341035827594e-02
4.218029028262717084e+00,7.977031799106766297e-01,1.299951585949757175e-02
4.180324823732592066e+00,8.182155763626715039e-01,1.501858217650573792e-02
4.240040181866367774e+00,8.050987021797547660e-01,1.359738753593904906e-02
4.089560716132924156e+00,7.886867186542969588e-01,1.540546359545518287e-02
4.180771066597689156e+00,8.268025730911729987e-01,1.712812581523620939e-02
4.258526437741305237e+00,7.554567812320283071e-01,1.379460120468560015e-02
4.326521285465529054e+00,7.701162371535600348e-01,1.698582567052348349e-02
