# desirability_entropy, agent_entropy, utility
3.793197715255971048e+00,7.833489154606584348e-01,1.789214760089570186e-02
3.837717154232843431e+00,7.852181447096289180e-01,2.034994176883265019e-02
3.927990991860577097e+00,8.270009595177223449e-01,1.866978881384931746e-02
3.891454904703924633e+00,7.574935233456426831e-01,2.269002911472155909e-02
3.801885471879214329e+00,7.564136026886382203e-01,2.335143099351310453e-02
4.020033320579239344e+00,7.874854642254481840e-01,1.944473956221522484e-02
3.787175020983696072e+00,7.924885282449258828e-01,2.105057931383658848e-02
4.078569548899812602e+00,7.857755258294525369e-01,2.126408440821991527e-02
3.764215919510399466e+00,7.820916280979083313e-01,1.912723098096315993e-02
3.954868581043195164e+00,7.970432399254498979e-01,1.899537994472971780e-02
3.813732002011667177e+00,7.985591694986283740e-01,1.823955720139369338e-02
4.037946260778392471e+00,8.145802989479447032e-01,1.698023424978958862e-02
3.845802216653249506e+00,7.990032065991310439e-01,2.028745916858158693e-02
3.857217119293695706e+00,7.998138515437219764e-01,1.966127352940953352e-02
3.813781028766048298e+00,7.728311413184572043e-01,1.984276703912809386e-02
3.898130858862210779e+00,8.107577294133968548e-01,1.820412997006429570e-02
3.675614382258503898e+00,7.699164927148165471e-01,2.093819427316861992e-02
3.807867893292413264e+00,7.771063874956608553e-01,2.043486979828774280e-02
3.907359660088649989e+00,7.899194569558827261e-01,2.007503872022913666e-02
4.035009254649972732e+00,7.932120365668896556e-01,2.001287460344458244e-02
3.943434824123478233e+00,7.701232953073982035e-01,1.991091280559356344e-02
3.915880750050571901e+00,7.928359101549536936e-01,1.989833894271264211e-02
3.813457556972131179e+00,7.835926660485298401e-01,2.015844046458853400e-02
4.030699110033331145e+00,7.698903411042169465e-01,2.192182986169916720e-02
3.747601298215783139e+00,8.010132422545055420e-01,1.952880934745633915e-02
3.827193045879562661e+00,7.899763136547884868e-01,1.792545552310203377e-02
3.678424612514770153e+00,7.786005390219187250e-01,2.072936219790307705e-02
3.928054953468190114e+00,8.147718824448531016e-01,1.740310032624470260e-02
3.746903714899513016e+00,8.155220852633273676e-01,1.757761593112317292e-02
3.992683704967388003e+00,7.853428071717248882e-01,1.951932662346268776e-02
