# desirability_entropy, agent_entropy, utility
1.858403850791841450e+00,6.905219843446931405e-01,3.426509522858963153e-01
1.908193119975707397e+00,7.396661313996542031e-01,3.477235464318128577e-01
1.811295272759883890e+00,6.509053013078051064e-01,3.521180423481353738e-01
1.856567170729849670e+00,6.963124626780616833e-01,3.514289099884845280e-01
1.891309592425526764e+00,7.477691443408207572e-01,3.476570894764056674e-01
1.849128830436611137e+00,6.800787719720928770e-01,3.512661872473137326e-01
1.787227780191851689e+00,6.312014032187877044e-01,3.450177554346571251e-01
1.873257289148529514e+00,6.993628350442639974e-01,3.444422722620318345e-01
1.873144292506412123e+00,7.589200773620632390e-01,3.400333233737074523e-01
1.852243986825233169e+00,6.965548135863959267e-01,3.467032610964854711e-01
1.868739666525229604e+00,7.254250525357579527e-01,3.405067305587473059e-01
1.885201109676541309e+00,7.066953875385687533e-01,3.463658907035180312e-01
1.893270418973651115e+00,7.098166809361011742e-01,3.485434001031147422e-01
1.858147264392360221e+00,7.624927086954713662e-01,3.296804891972424656e-01
1.847938899237782984e+00,6.860010134333115461e-01,3.527375309304329742e-01
1.830740170700682068e+00,7.477289962284860980e-01,3.332623940381725380e-01
1.931321470457191714e+00,7.097303053052003152e-01,3.462223730028444191e-01
1.847185531181954499e+00,6.594142923161956382e-01,3.451580710737144342e-01
1.831124488318940591e+00,6.298641217710760909e-01,3.561383623621150463e-01
1.909076148058930888e+00,7.187024999091556898e-01,3.497439026098552173e-01
1.872377283876348164e+00,6.938329886767792276e-01,3.512228303495301684e-01
1.848936228753238487e+00,6.869012897038376808e-01,3.529930473781956457e-01
1.857666138907661857e+00,7.061285569367238280e-01,3.456032472809894562e-01
1.789620208140326074e+00,8.044580922653404853e-01,3.285052600300696901e-01
1.872551036650733858e+00,7.133340054816520448e-01,3.448113813860693710e-01
1.784891045327036352e+00,6.540541934735839558e-01,3.480004495533774445e-01
1.867758320703425179e+00,7.106486472760601414e-01,3.469166506189548249e-01
