# desirability_entropy, agent_entropy, utility
2.004466538286031163e+00,8.229122390728160763e-01,2.706532379564087210e-01
1.974301154546420412e+00,8.446561230700785350e-01,3.068105506340442767e-01
2.003953683520331985e+00,7.918934607909081658e-01,2.917253875310223399e-01
1.984091017028771775e+00,8.532170371537562970e-01,2.955304068685195573e-01
1.956552179054712237e+00,8.548912275792482918e-01,3.083424381251474999e-01
1.926377601187173605e+00,8.108980775322987000e-01,3.014770686114785492e-01
2.031890769722750179e+00,7.908726878274544569e-01,2.904713370690921725e-01
1.975393488597241731e+00,8.132159666628672179e-01,2.962996416498103747e-01
2.015127914584741831e+00,8.130605518436957446e-01,2.951152609435537255e-01
1.942746127245673415e+00,8.406990151757944840e-01,3.074247194222655133e-01
1.974206417329571250e+00,8.340826257066070726e-01,3.045573849401274624e-01
1.943234561442362729e+00,8.278058167886004348e-01,2.987997736841668805e-01
2.058869537626652590e+00,7.977535678823806098e-01,2.929568302766283883e-01
1.992835706056761857e+00,8.224836882157186002e-01,2.976761903634291273e-01
2.005717371600158838e+00,7.959343736984306750e-01,2.978126855573571263e-01
1.927928635451279016e+00,8.030099607827639874e-01,2.981236787099215690e-01
2.076757606807083434e+00,8.399856840077433162e-01,2.935212885913779934e-01
2.078402372544769339e+00,8.185805437720097277e-01,2.736023105740421069e-01
2.183680307600242454e+00,8.484644640726144438e-01,2.765797092444627903e-01
2.014560270296207101e+00,8.289286680613208169e-01,3.026958794316136903e-01
2.255937990187044662e+00,8.446398744218756027e-01,2.839400611295142540e-01
1.954441750556795032e+00,8.288017135035468108e-01,2.928171788081577742e-01
1.967667113261398093e+00,7.921548573925918380e-01,2.876196463707228479e-01
2.019621243055904181e+00,8.385461298433404265e-01,3.003830841193931289e-01
1.943962977870043574e+00,8.029040775634412874e-01,2.917409928817676912e-01
1.971703745121965445e+00,8.389650910415651364e-01,2.863223106321109990e-01
2.009702895398568057e+00,8.504140610955561730e-01,3.041738578075360855e-01
1.943729198204016351e+00,7.851661075570005588e-01,2.996747102704301335e-01
1.969600660551894311e+00,8.346503781543990197e-01,3.042032021534668007e-01
2.100235387911859597e+00,8.493838985871319247e-01,2.849165198097672880e-01
2.073169635802397881e+00,8.656678893982738821e-01,2.977090310915776472e-01
1.982407966601357874e+00,8.013628276931316075e-01,3.111127287911126249e-01
1.974608044178379318e+00,8.478936079614542987e-01,3.031410557520990978e-01
2.000079269949250449e+00,8.476232075316250114e-01,3.004000162248033901e-01
1.932194931869451349e+00,8.294658262888650047e-01,2.895667070796627551e-01
2.158926002785929832e+00,8.508310904431426458e-01,2.780786580221264459e-01
2.041337506514107947e+00,7.983641144427250369e-01,2.991992442443635047e-01
1.973909772588030132e+00,8.514701479110677873e-01,2.989112735966032997e-01
2.034719421939233719e+00,8.479057010156635377e-01,2.942211632322182524e-01
1.968818497794075029e+00,8.315343538587373073e-01,3.062638405249020757e-01
1.975155874862508432e+00,8.161568577381898004e-01,3.076597428977811965e-01
1.932850503878954074e+00,8.420836732520073920e-01,2.918461556524962197e-01
1.973238227543740786e+00,8.351007280564888280e-01,2.999049883567576624e-01
1.983800162547341595e+00,8.176600422830949677e-01,2.992922867500205641e-01
2.024109259340678868e+00,8.519216155521645018e-01,3.068783793735543886e-01
1.978735815259405673e+00,8.382028696061396555e-01,2.957570831402132616e-01
1.993909463888152489e+00,8.242619669014472628e-01,3.097688892936077965e-01
2.182171551244800334e+00,8.367760312685563751e-01,2.815696485853396158e-01
2.051955318319712340e+00,8.345603522429249077e-01,2.894693774763533733e-01
1.959634449107505505e+00,8.183851221441424961e-01,3.146626650082082199e-01
1.992672674109562614e+00,8.022915355609749888e-01,3.015207767681467033e-01
1.988703705720717529e+00,8.296589548693151794e-01,3.149611223355670564e-01
2.005048567339489107e+00,8.289276793901675378e-01,3.040416908974664101e-01
