# desirability_entropy, agent_entropy, utility
3.881231787280791767e+00,8.162591291847842712e-01,1.926062768675262243e-02
3.972836990834053505e+00,8.065836034851426861e-01,1.765985366656365463e-02
3.985001396727319900e+00,8.004926235023426262e-01,1.843828541481757136e-02
3.894697567494612045e+00,7.997895828802483731e-01,1.855899638942029237e-02
3.854448525473398224e+00,7.788071766309646593e-01,1.934709469442053714e-02
3.936213138321114968e+00,8.137415847196431962e-01,1.734937983455324753e-02
3.667791418374149792e+00,7.905543453196740566e-01,1.913297086175366410e-02
4.001622743641265245e+00,7.911207561627590090e-01,1.767429406248901061e-02
3.748395889260073499e+00,8.036467670818410181e-01,1.966291885422053951e-02
3.932314403379780554e+00,7.790998988112938228e-01,2.063525242256518399e-02
3.657279176789077546e+00,7.900735074781769507e-01,1.960025521042494528e-02
4.040753355484032916e+00,7.667116374041764715e-01,2.139043865780838882e-02
3.787454777978214171e+00,7.814542341136814230e-01,2.058285833768330741e-02
3.879113539821405610e+00,8.036255814955384214e-01,1.887880566343435457e-02
3.962516980999438942e+00,7.651562354729818383e-01,2.193345093954327668e-02
3.785336469045161856e+00,7.427112221368159517e-01,2.181063138969954046e-02
3.855857894965976751e+00,8.227568315180658898e-01,1.817963125315925216e-02
3.890010189854848921e+00,7.900505376711616234e-01,2.037857216262222923e-02
4.091815988358628253e+00,8.106402145110173096e-01,1.757634775590830728e-02
3.708825101666541446e+00,7.966950241326867799e-01,1.786245086835238152e-02
3.881036125197370623e+00,8.056495408716956019e-01,1.899970267721140180e-02
3.921408950948105154e+00,7.974536615096942116e-01,1.850365058562151999e-02
3.949696020977529809e+00,7.574788430737766642e-01,2.284979071017493452e-02
3.853980700571554063e+00,7.470567258332724281e-01,2.169784321692278320e-02
3.922926444830260984e+00,8.066003442402490675e-01,1.917684698422222195e-02
3.847066003632126474e+00,7.692327217647106918e-01,2.183914034640062687e-02
3.837837812903518220e+00,8.187836967995122395e-01,1.557662272591685444e-02
3.905808309831269032e+00,8.307955322979612145e-01,1.747027995694708583e-02
3.955064348741119673e+00,7.858144581262914707e-01,2.041230483661293435e-02
3.903822989217373696e+00,7.506794345980778438e-01,2.351984681601789265e-02
3.811115702282490414e+00,8.337796012549458791e-01,1.700262529301987263e-02
3.882593149999499005e+00,7.632273574334177413e-01,2.076118107620250272e-02
3.791832331218752294e+00,7.918646707579064525e-01,1.721169105331655375e-02
3.753976094922398588e+00,8.072877959845949913e-01,1.862957004495218588e-02
3.912709467322282197e+00,8.166241645400179605e-01,1.807124070266941454e-02
3.809588647604928102e+00,7.679744549890040739e-01,1.974919326226261262e-02
3.860086692059645053e+00,7.971779129975309353e-01,2.068116648348035380e-02
4.017622337341043348e+00,8.284220857908946023e-01,1.502930982341876484e-02
3.842996254932802724e+00,7.620423573599914846e-01,1.964144928494021211e-02
3.872395379573855045e+00,8.263187846012605142e-01,1.522393923539720403e-02
3.989045921608997514e+00,7.808419916004057937e-01,1.999242334789579079e-02
3.679402866829545538e+00,8.023109480559434958e-01,2.000573135180566328e-02
3.688965173993856705e+00,7.491827436378640792e-01,2.241935948685435873e-02
3.956185149035007065e+00,8.214447049511528487e-01,1.622061577834161064e-02
3.690715489838789054e+00,7.941699519276990138e-01,1.871924570626777584e-02
3.871576188042751276e+00,8.008534562177502814e-01,1.733793808791501273e-02
3.739288089359490641e+00,8.088420295763472101e-01,1.818283286815625122e-02
3.766918374023051630e+00,8.123020291418944216e-01,1.970191322269393072e-02
3.889461437378862296e+00,7.945483761509900544e-01,2.008667245859374617e-02
3.953516375183090403e+00,8.010749985993098621e-01,1.883289695223235027e-02
3.863335171302072713e+00,7.425011792965540147e-01,2.274952576470292212e-02
3.886247120104994845e+00,7.765084025480680774e-01,1.957925349425215789e-02
3.900593454911229330e+00,8.200046885955181164e-01,1.909077530720640001e-02
3.892966374940393326e+00,7.849611846028027307e-01,1.594530356894205761e-02
4.110315187040807672e+00,8.137395761209531564e-01,1.810797407159305678e-02
3.977453301905975014e+00,7.611907295532988060e-01,2.142958621412268186e-02
3.872687902869706544e+00,7.478811267116488581e-01,2.013165488819464513e-02
3.969570000447792957e+00,7.827210098670196459e-01,1.893221806748629499e-02
3.840455534867277088e+00,8.056343411134083698e-01,1.817911320821245097e-02
4.069020660502794762e+00,7.675167882752422788e-01,2.216214105148946178e-02
3.821224465558085814e+00,7.442807382699425656e-01,2.019335939872166780e-02
3.843380245038733545e+00,7.782332474126391064e-01,1.897135850281241043e-02
3.906517171928840959e+00,7.623092040605036201e-01,2.108326449035188496e-02
3.932025279081771352e+00,7.839037339612209276e-01,1.803480990738819817e-02
3.926610843937126116e+00,8.424136125082198889e-01,1.385283096532143564e-02
