# desirability_entropy, agent_entropy, utility
1.981497951374191269e+00,6.967319348092668729e-01,3.550049530300823930e-01
1.904081829792782399e+00,6.766147517629931274e-01,3.549355126322642495e-01
1.984013125684133350e+00,7.402023003003361801e-01,3.360743968327968290e-01
1.943472045650830982e+00,7.282857630812826777e-01,3.338435787441212388e-01
1.950804236041801198e+00,7.631707548064148305e-01,3.217927843943688138e-01
1.964641504851227571e+00,7.150259354337880069e-01,3.323276592983773203e-01
1.963948577690813435e+00,7.377924470876797702e-01,3.256715920528676644e-01
1.982114433259772435e+00,7.127625438799584101e-01,3.401487374330404156e-01
1.915133224333880779e+00,7.700460344273134528e-01,3.122494577704215124e-01
1.940367246094372833e+00,7.457654789914015536e-01,3.270122316267706220e-01
1.967658318846062793e+00,7.232879204601084799e-01,3.257779452205452619e-01
1.971279173818957897e+00,7.339269448648322314e-01,3.298607692208116449e-01
1.972201007517582205e+00,7.098390832635954606e-01,3.365786933065275099e-01
1.973319616759834361e+00,7.390225156027210307e-01,3.227565451066291002e-01
1.902932326216232095e+00,7.057296881228748431e-01,3.528838393162022635e-01
1.901089873358886795e+00,7.721472794632937564e-01,3.167983203721430607e-01
1.960407846352330896e+00,7.596664188032620224e-01,3.184752610773969317e-01
1.952164516647248549e+00,7.003786236786522235e-01,3.538742857804397790e-01
1.948522772914580203e+00,7.263968016969800656e-01,3.269708782749202736e-01
1.961924048299574119e+00,7.004135387419057057e-01,3.544552307542532810e-01
1.970234432712701267e+00,7.231577256845749258e-01,3.270967749830653304e-01
1.923145460537302176e+00,7.514195395858653814e-01,3.257130424362565391e-01
1.925220303414908907e+00,6.743714523408529393e-01,3.539401590033734446e-01
1.989263785523047279e+00,7.072020074405068746e-01,3.385329139004683019e-01
1.951842652239019094e+00,7.248270527387983275e-01,3.425257934812473981e-01
1.972346122836208471e+00,7.498265175736604782e-01,3.312905889226300804e-01
1.977106952785583793e+00,7.362950131613956728e-01,3.342420383925089333e-01
1.947822250017673618e+00,6.659990531066608543e-01,3.586274870091998301e-01
1.952856925723801318e+00,7.341236448640556800e-01,3.336570737244840545e-01
1.956536387388086551e+00,7.249785340820923407e-01,3.485363600118396854e-01
1.930772772991640407e+00,6.847481450853974971e-01,3.534713085585623471e-01
1.947840278391056890e+00,7.900534630970903471e-01,3.175760398504627324e-01
1.851715616190227509e+00,7.818526639090168651e-01,3.301176259384280831e-01
1.917489662745702095e+00,7.778546668994684721e-01,3.304672619694012381e-01
1.971917399474651056e+00,7.137198066279435427e-01,3.458575217639073829e-01
1.962362173375037822e+00,7.225387790459970594e-01,3.339578474306019729e-01
1.934207079164899756e+00,7.396108449457936551e-01,3.391694007211349393e-01
1.982017525456171603e+00,7.337782495819777928e-01,3.416391386197418778e-01
1.942935873164235661e+00,7.279776785103759806e-01,3.340924969113298060e-01
1.956560654437538460e+00,7.380659548365525735e-01,3.261647774493474095e-01
1.880174738881865926e+00,6.781302593859412919e-01,3.476655002976211661e-01
1.900326856265083908e+00,7.515243168011891406e-01,3.214696698602728109e-01
1.983536482682531688e+00,7.348944780595522142e-01,3.407826656349399186e-01
1.985135599049486776e+00,7.358438531055481180e-01,3.315016723621874162e-01
1.966609293591957686e+00,7.038503973300641592e-01,3.428935139575448043e-01
1.916183698518408640e+00,6.914428044014659935e-01,3.477177759669067281e-01
1.925277088336875275e+00,7.171021665068769702e-01,3.349016764926705525e-01
1.933747274338716959e+00,7.134869235296323886e-01,3.326485146505740453e-01
1.951427966433376904e+00,7.258426753263622633e-01,3.416909774915133924e-01
1.956483456790663045e+00,6.891739069810682849e-01,3.566053824167095265e-01
1.929904455202136937e+00,7.146584007546830097e-01,3.386815886263556119e-01
1.949834138315887477e+00,7.085329076183503050e-01,3.385206571631650396e-01
1.936134460404368207e+00,6.993603942616888336e-01,3.511432166050668102e-01
1.977395778255314429e+00,7.380719659398982113e-01,3.363104894297552216e-01
1.901852816722376494e+00,6.940404884514073114e-01,3.511782799646740449e-01
1.966317559100302370e+00,7.452281331172380119e-01,3.362565855204419640e-01
1.938989161850864340e+00,7.143120249779714159e-01,3.330526678591662626e-01
1.973873386305242006e+00,7.568651788601987729e-01,3.271325837107952328e-01
1.962748772879224113e+00,7.234323383507054173e-01,3.344298230576173703e-01
1.967797140567649761e+00,7.390342647363838946e-01,3.413477462359107428e-01
1.925304044566672701e+00,6.848935712751468285e-01,3.521034377892705569e-01
1.967276596721427406e+00,7.255960810484969326e-01,3.272133246115487837e-01
1.930145179773677944e+00,7.736170319273606433e-01,3.208083222529914957e-01
1.947274556077237984e+00,7.003536966532680763e-01,3.506544093279683194e-01
2.008074202796375829e+00,7.487149025321957474e-01,3.333012629319473397e-01
1.974498104940051180e+00,7.158797829534001567e-01,3.368978845568789682e-01
1.921325329739400622e+00,6.595201171774081050e-01,3.551695575385552250e-01
1.944734742705308550e+00,7.138899941080386613e-01,3.468814901058123734e-01
1.919465334593530192e+00,7.877256353433028657e-01,3.275238388761428920e-01
1.938448179444632213e+00,7.778281885211260072e-01,3.241411693157955076e-01
1.975810059890618309e+00,7.514669268042913908e-01,3.290872464176018419e-01
1.931340552623426188e+00,6.614988162829047447e-01,3.469759962215868132e-01
1.915781423782211279e+00,7.298402014820012385e-01,3.295872725605165643e-01
1.982659155567363607e+00,7.542195483774661868e-01,3.262284446321320197e-01
1.947930272452403022e+00,7.102834037402802059e-01,3.487079493825682719e-01
1.981146274922911177e+00,7.481073111643179452e-01,3.404087326564492755e-01
1.926370884683948015e+00,6.691954981192266283e-01,3.548108770190492312e-01
1.961948912610983031e+00,7.483252528936807924e-01,3.402976913581777230e-01
1.949603648377442822e+00,7.245005303899466620e-01,3.275709554393028133e-01
1.948272457943030611e+00,7.237565353491568487e-01,3.400023694165114629e-01
1.933131832913997705e+00,7.477630887842268148e-01,3.215786765841773254e-01
1.950683987201567104e+00,7.272474893825011666e-01,3.344603024335285890e-01
1.957323704768281214e+00,6.752459659048432039e-01,3.594006258162681378e-01
1.953015586037144091e+00,7.359718109953869991e-01,3.388156564633855172e-01
1.946697887342434319e+00,7.281705656952642824e-01,3.177720551421371331e-01
1.938585702796248089e+00,7.051996032462467534e-01,3.433602559391356057e-01
1.923910720588976497e+00,7.479695996403907809e-01,3.356534952052865894e-01
1.974753945892964158e+00,7.537427883514840055e-01,3.216820826991665383e-01
1.987000829548349667e+00,7.340887256356314339e-01,3.364158791780205160e-01
1.966703240133131025e+00,7.198688127881566201e-01,3.348988131336905760e-01
1.965334056486105707e+00,7.329786974573545555e-01,3.265543184475088179e-01
1.979836102145597909e+00,7.105334430804270962e-01,3.384378735759708823e-01
1.979354207743504457e+00,7.519327109525939523e-01,3.292242303731662267e-01
1.894384808285577426e+00,6.478128023897480325e-01,3.486846706201300328e-01
1.942553804968680131e+00,7.076818287263274554e-01,3.537806167894024800e-01
1.927130647121538365e+00,7.370832916526521839e-01,3.370950518061810453e-01
1.925383642646336657e+00,6.999507560274781381e-01,3.449550999530134887e-01
1.990088013772560949e+00,7.712657095488827386e-01,3.170501976887687978e-01
1.950532597034506210e+00,7.695030200909626084e-01,3.324629579463319606e-01
1.962280361660067030e+00,7.417342656542710300e-01,3.364364188281398493e-01
